CardID,Date,Amount
C0100000199,2016/8/20,229
C0100000199,2016/6/28,139
C0100000199,2016/12/29,229
C0100000343,2016/7/27,49
C0100000343,2016/2/2,169.99
C0100000343,2016/7/12,299
C0100000343,2016/2/2,34.95
C0100000343,2016/9/7,99
C0100000343,2016/5/13,49
C0100000375,2016/9/22,99.99
C0100000375,2016/5/2,5.99
C0100000375,2016/11/1,49
C0100000375,2016/10/16,69
C0100000482,2016/8/12,84
C0100000482,2016/3/28,69
C0100000482,2016/4/3,24.99
C0100000482,2016/12/10,19.99
C0100000689,2016/5/23,79
C0100000689,2016/12/26,349
C0100000789,2016/6/10,299
C0100000789,2016/12/29,79
C0100000789,2016/7/21,399
C0100000915,2016/12/20,49
C0100001116,2016/7/12,25.99
C0100001116,2016/5/8,299
C0100001116,2016/2/9,29.99
C0100001116,2016/2/16,9.99
C0100001116,2016/8/13,499
C0100001116,2016/8/20,79
C0100001139,2016/2/4,69
C0100001139,2016/4/4,189
C0100001139,2016/5/16,69
C0100001139,2016/9/10,12.49
C0100001156,2016/6/1,329
C0100001156,2016/10/26,199
C0100001244,2016/2/4,149.99
C0100001244,2016/7/17,149.99
C0100001244,2016/5/15,39.95
C0100001405,2016/1/18,84.99
C0100001405,2016/6/17,69
C0100001916,2016/4/12,124
C0100001916,2016/4/18,84
C0100001916,2016/11/27,14.99
C0100001916,2016/9/8,59.99
C0100001916,2016/6/13,89
C0100002002,2016/1/5,84.99
C0100002002,2016/1/28,74
C0100002002,2016/9/17,349
C0100002002,2016/7/19,450
C0100002206,2016/9/2,59
C0100002206,2016/12/15,4.99
C0100002206,2016/9/11,9.99
C0100002206,2016/2/21,239
C0100002536,2016/11/10,129
C0100002536,2016/1/30,109
C0100002536,2016/6/21,8.99
C0100002691,2016/2/28,259
C0100002691,2016/10/7,129
C0100003019,2016/6/28,34.99
C0100003019,2016/10/5,999
C0100003019,2016/6/1,279
C0100003346,2016/3/31,179
C0100003346,2016/11/1,79
C0100003346,2016/8/12,124
C0100003346,2016/7/9,109
C0100003753,2016/6/15,124
C0100003760,2016/4/8,99
C0100004171,2016/12/20,8.99
C0100004171,2016/11/6,3.99
C0100004238,2016/6/27,349
C0100004264,2016/1/2,79
C0100004264,2016/8/24,59
C0100004264,2016/12/28,124
C0100004264,2016/5/13,8.99
C0100004264,2016/3/24,189
C0100004471,2016/6/16,189
C0100004471,2016/8/29,3.99
C0100004471,2016/7/8,7.99
C0100004471,2016/6/16,189
C0100004471,2016/8/29,3.99
C0100004471,2016/7/2,9.99
C0100004471,2016/7/2,9.99
C0100004471,2016/7/8,7.99
C0100004535,2016/3/1,39
C0100004535,2016/9/19,399
C0100005070,2016/4/3,2.99
C0100005070,2016/6/24,9.99
C0100005070,2016/10/28,84
C0100005091,2016/8/19,49
C0100005091,2016/4/8,5.49
C0100005091,2016/4/2,49
C0100005169,2016/1/31,13.99
C0100005169,2016/1/21,2.49
C0100005169,2016/9/4,5.49
C0100005169,2016/5/9,1.99
C0100005169,2016/10/17,8.49
C0100005169,2016/10/9,4.99
C0100005169,2016/2/16,279
C0100005169,2016/3/12,159
C0100005169,2016/3/14,4.99
C0100005169,2016/2/27,9.99
C0100005169,2016/11/2,4.99
C0100005169,2016/2/2,3.99
C0100005169,2016/4/29,14.99
C0100005169,2016/1/19,19.99
C0100005169,2016/1/31,79.99
C0100005169,2016/12/6,9.99
C0100005169,2016/10/25,16.99
C0100005169,2016/10/9,1.99
C0100005169,2016/9/28,14.99
C0100005169,2016/3/20,8.99
C0100005169,2016/1/9,3.99
C0100005169,2016/7/19,4.99
C0100005169,2016/3/5,3.99
C0100005169,2016/12/17,4.99
C0100005169,2016/4/29,9.99
C0100005753,2016/3/11,199
C0100005753,2016/11/8,149
C0100006171,2016/8/26,299
C0100006171,2016/4/14,349
C0100006369,2016/10/13,299
C0100006369,2016/6/16,249
C0100006506,2016/5/16,94
C0100006506,2016/12/19,64
C0100006506,2016/7/31,94
C0100006701,2016/3/7,69
C0100006701,2016/12/24,179
C0100006744,2016/1/28,24.99
C0100006744,2016/3/17,5.99
C0100006744,2016/8/18,749
C0100006744,2016/2/12,8.99
C0100006744,2016/5/24,79
C0100006744,2016/2/12,6.99
C0100006744,2016/2/13,14.99
C0100006744,2016/5/28,3.99
C0100006744,2016/2/15,8.99
C0100006744,2016/2/15,8.49
C0100006744,2016/5/9,3.99
C0100006744,2016/3/4,4.99
C0100006744,2016/5/13,149.99
C0100006844,2016/12/7,109
C0100006844,2016/1/22,219
C0100006844,2016/6/5,79
C0100007186,2016/5/14,279
C0100007186,2016/7/4,104
C0100007186,2016/12/5,7.49
C0100007186,2016/11/25,39.95
C0100007941,2016/2/26,339
C0100007981,2016/11/19,69.99
C0100007981,2016/12/25,449
C0100007981,2016/12/5,29
C0100007981,2016/1/9,349
